directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6210,p6210s1,p6240,oficio,p6426,relab,hoursWorkUsual,p6870,p6920,p7040,p7070,p7090,p7495,p7500s1a1,p7500s2a1,p7500s3a1,p7505,p7510s1a1,p7510s2a1,p7510s3a1,p7510s5a1,p7510s6a1,p7510s7a1,pet,impa,isa,iof1,iof2,iof3h,iof3i,iof6,ingtotob,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,age2,logIng,female,agefem,totalHoursWorked2,totalHoursWorked3
10677,4699107,1,2,1,BOGOTA,8,3,0,63,2,1,5,11,1,57,120,1,66,2,2,2,0,2,2,0,0,0,1,0,0,0,0,0,8e+06,1,1200000,0,0,0,0,0,0,1200000,1200000,276.001704268063,11,276.001704268063,276,6,1,2,1,1,0,1,0,66,0,1,0,1,2,3969,13.9978321147582,1,63,4356,287496
1597,4540750,1,2,1,BOGOTA,2,2,0,30,2,1,5,11,1,80,48,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,959929.416666667,0,0,0,0,0,0,959929.416666667,959929.416666667,258.698108245163,11,258.698108245163,259,6,1,1,1,1,0,1,0,48,1,0,0,0,5,900,13.7746150364354,1,30,2304,110592
12474,4729094,1,2,1,BOGOTA,9,2,0,36,2,1,6,3,1,55,3,4,30,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,4e+05,0,0,0,0,0,0,4e+05,4e+05,228.890473383488,11,228.890473383488,229,7,0,2,1,1,0,1,0,30,0,1,1,1,1,1296,12.8992198260901,1,36,900,27000
14519,4766037,1,4,1,BOGOTA,11,3,0,28,3,1,6,5,1,13,12,4,16,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1500000,0,0,0,0,0,0,1500000,1500000,144.141281174564,11,144.141281174564,144,7,0,1,1,1,0,1,0,16,1,0,1,0,5,784,14.2209756660724,1,28,256,4096
11813,4715072,1,1,1,BOGOTA,9,5,1,55,1,1,6,11,1,6,120,4,40,1,1,2,0,2,1,2e+06,0,0,2,0,0,0,0,0,0,1,1.5e+07,0,0,0,0,0,2e+06,1.7e+07,1.7e+07,251.177719558089,11,251.177719558089,251,7,0,1,1,1,0,1,0,40,1,0,1,1,1,3025,16.6487239020205,0,0,1600,64000
3487,4577355,1,3,1,BOGOTA,3,3,1,25,3,1,6,4,1,39,18,4,60,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,2300000,0,0,0,0,0,0,2300000,2300000,331.597505896661,11,331.597505896661,332,7,0,1,1,1,0,1,0,60,1,0,1,0,5,625,14.6484196808994,0,0,3600,216000
12631,4733879,1,2,1,BOGOTA,10,2,1,60,2,1,3,5,6,38,2,6,40,2,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,937500,0,0,0,0,0,0,0,937500,232.051031045818,11,232.051031045818,232,4,0,2,1,1,0,1,0,40,0,1,0,1,2,3600,13.7509720368267,0,0,1600,64000
10022,4688000,1,1,1,BOGOTA,8,3,0,54,1,1,6,6,1,12,384,2,40,9,1,2,0,2,2,0,0,0,1,4e+06,0,0,0,0,0,1,7691666.66666667,0,0,0,333333.333333333,0,0,8025000,8025000,190.247998973736,11,190.247998973736,190,7,0,1,1,1,0,1,0,40,1,0,0,0,5,2916,15.8980722269804,1,54,1600,64000
14486,4766016,1,4,1,BOGOTA,11,2,0,38,3,1,6,3,1,39,4,1,48,5,1,2,0,2,2,0,0,0,1,0,0,0,0,0,2500000,1,1418211,0,0,0,0,0,0,1418211,1418211,252.450115888272,11,252.450115888272,252,7,0,1,1,1,0,1,0,48,1,0,0,0,4,1444,14.1649067761328,1,38,2304,110592
13186,4738041,1,2,1,BOGOTA,10,3,0,49,2,1,5,11,1,79,24,1,48,4,1,2,0,2,2,0,0,0,1,0,0,0,0,8e+05,0,1,866666.666666667,0,0,0,0,0,0,866666.666666667,866666.666666667,224.202808079957,11,224.202808079957,224,6,1,1,1,1,0,1,0,48,1,0,0,0,3,2401,13.6724097143236,1,49,2304,110592
6064,4620830,1,3,1,BOGOTA,5,2,0,24,3,1,6,4,1,15,12,1,48,5,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1908333.33333333,0,0,0,0,0,0,1908333.33333333,1908333.33333333,200.826573317656,11,200.826573317656,201,7,0,1,1,1,0,1,0,48,1,0,0,0,4,576,14.4617408187365,1,24,2304,110592
14683,4768693,1,2,1,BOGOTA,11,4,1,20,3,1,6,2,3,3,24,1,10,3,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,2e+05,0,0,0,0,0,0,2e+05,1130000,258.80125087135,11,258.80125087135,259,7,0,2,1,1,0,1,0,10,0,1,0,1,2,400,13.9377281906885,0,0,100,1000
2612,4564442,1,1,1,BOGOTA,3,3,0,51,1,1,5,11,1,45,60,1,40,2,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1038211,0,0,0,0,0,0,1038211,1038211,193.458072034825,11,193.458072034825,193,6,1,1,1,1,0,1,0,40,1,0,0,1,2,2601,13.8530095975802,1,51,1600,64000
1260,4540511,1,2,1,BOGOTA,2,3,1,25,3,1,6,0,1,98,1,4,32,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,2e+05,0,0,0,0,0,0,2e+05,2e+05,286.466497517315,11,286.466497517315,286,7,0,2,1,1,0,1,0,32,0,1,1,1,1,625,12.2060726455302,0,0,1024,32768
11902,4721125,1,2,1,BOGOTA,9,3,0,40,2,1,5,11,1,53,60,1,48,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1788211,0,0,0,0,0,0,1788211,1788211,201.306500213045,11,201.306500213045,201,6,1,1,1,1,0,1,0,48,1,0,0,0,5,1600,14.3967262367016,1,40,2304,110592
12880,4736592,1,2,1,BOGOTA,10,2,1,23,2,1,4,9,1,33,24,1,60,2,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,9e+05,0,0,0,0,0,0,9e+05,9e+05,252.789442592569,11,252.789442592569,253,5,0,2,1,1,0,1,0,60,0,1,0,1,2,529,13.7101500423064,0,0,3600,216000
3548,4577396,1,1,1,BOGOTA,3,2,0,44,1,1,5,11,1,45,132,1,48,6,1,2,0,2,2,0,0,0,1,0,0,0,0,98000,0,1,949687.416666667,0,0,0,0,0,0,949687.416666667,949687.416666667,202.357265440375,11,202.357265440375,202,6,1,1,1,1,0,1,0,48,1,0,0,0,4,1936,13.7638881743451,1,44,2304,110592
