directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6210,p6210s1,p6240,oficio,p6426,relab,hoursWorkUsual,p6870,p6920,p7040,p7070,p7090,p7495,p7500s1a1,p7500s2a1,p7500s3a1,p7505,p7510s1a1,p7510s2a1,p7510s3a1,p7510s5a1,p7510s6a1,p7510s7a1,pet,impa,isa,iof1,iof2,iof3h,iof3i,iof6,ingtotob,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,age2,logIng,female,agefem,totalHoursWorked2,totalHoursWorked3
60,4514384,1,6,1,BOGOTA,1,3,0,29,4,1,5,11,1,39,14,1,40,6,1,2,0,2,1,0,0,150000,2,0,0,0,0,0,0,1,1087140,0,0,0,150000,0,0,1237140,1237140,207.886713774121,11,207.886713774121,208,6,1,1,1,1,0,1,0,40,1,0,0,0,4,841,14.0283128220118,1,29,1600,64000
61,4514385,1,1,1,BOGOTA,1,3,0,52,1,1,5,11,1,57,300,5,54,2,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2500000,196.962524653047,11,196.962524653047,197,6,1,2,1,1,0,1,0,54,0,1,0,1,2,2704,14.7318012898384,1,52,2916,157464
62,4514387,1,1,1,BOGOTA,1,3,1,63,1,1,5,11,6,84,420,5,48,2,2,2,0,2,1,1200000,0,0,1,0,0,0,2e+05,0,0,1,6e+06,0,16666.6666666667,0,0,0,1200000,7216666.66666667,7216666.66666667,267.929620099751,11,267.929620099751,268,6,1,2,1,1,0,1,0,48,0,1,0,1,2,3969,15.7919037237447,0,0,2304,110592
63,4514387,1,3,1,BOGOTA,1,3,0,25,6,1,5,11,6,54,48,3,60,1,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,741473.333333333,0,0,0,0,0,0,1551473.33333333,1551473.33333333,267.929620099751,11,267.929620099751,268,6,1,1,1,1,0,1,0,60,1,0,0,1,1,625,14.254715575055,1,25,3600,216000
64,4514387,2,1,1,BOGOTA,1,3,1,32,1,1,6,5,6,18,36,4,50,1,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1e+06,0,0,0,0,0,0,1e+06,1e+06,267.929620099751,11,267.929620099751,268,7,0,1,1,1,0,1,0,50,1,0,1,1,1,1024,13.8155105579643,0,0,2500,125000
67,4514389,1,2,1,BOGOTA,1,3,0,63,2,1,3,4,1,41,300,4,60,2,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2e+05,234.119759331995,11,234.119759331995,234,3,0,2,1,1,0,1,0,60,0,1,1,1,2,3969,12.2060726455302,1,63,3600,216000
68,4514389,1,1,1,BOGOTA,1,3,1,71,1,1,3,2,1,41,300,4,60,2,2,2,0,2,1,5e+05,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5e+05,5e+05,1200000,234.119759331995,11,234.119759331995,234,3,0,2,1,1,0,1,0,60,0,1,1,1,2,5041,13.9978321147582,0,0,3600,216000
70,4514390,1,2,1,BOGOTA,1,4,0,52,2,1,6,8,1,2,60,2,45,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,6018333.33333333,0,0,0,0,0,0,6018333.33333333,6018333.33333333,213.911490196137,11,213.911490196137,214,7,0,1,1,1,0,1,0,45,1,0,0,0,5,2704,15.6103209240256,1,52,2025,91125
71,4514390,1,4,1,BOGOTA,1,4,1,25,3,1,6,5,1,2,6,1,48,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1461473.33333333,0,0,0,0,0,0,1461473.33333333,1461473.33333333,213.911490196137,11,213.911490196137,214,7,0,1,1,1,0,1,0,48,1,0,0,0,5,625,14.1949556172728,0,0,2304,110592
72,4514391,1,1,1,BOGOTA,1,4,0,53,1,1,3,5,4,84,144,4,48,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,980000,0,0,0,0,0,0,980000,980000,241.981809536919,11,241.981809536919,242,4,0,2,1,1,0,1,0,48,0,1,1,1,1,2809,13.7953078506468,1,53,2304,110592
74,4514392,1,1,1,BOGOTA,1,4,1,42,1,1,5,11,1,57,84,5,72,4,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2e+06,205.425424579072,11,205.425424579072,205,6,1,1,1,1,0,1,0,72,1,0,0,0,3,1764,14.5086577385242,0,0,5184,373248
76,4514395,1,2,1,BOGOTA,1,3,1,41,2,1,6,3,6,39,56,4,40,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1200000,193.642340868644,11,193.642340868644,194,7,0,2,1,1,0,1,0,40,0,1,1,1,1,1681,13.9978321147582,0,0,1600,64000
77,4514395,1,3,1,BOGOTA,1,3,0,19,3,1,6,1,1,33,18,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,916666.666666667,0,0,0,0,0,0,916666.666666667,916666.666666667,193.642340868644,11,193.642340868644,194,7,0,1,1,1,0,1,0,48,1,0,0,0,5,361,13.7284991809746,1,19,2304,110592
80,4514397,1,2,1,BOGOTA,1,4,0,39,2,1,6,4,6,21,24,4,20,2,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,737717,0,0,0,0,0,0,737717,737717,341.979787849128,11,341.979787849128,342,7,0,2,1,1,0,1,0,20,0,1,1,1,2,1521,13.5113155612049,1,39,400,8000
