ingtot,sex,age,logIng,female,fitValues,age2,numfem,agefem,oficio
2166666.66666667,0,31,14.5887004461978,1,13.8202984369853,961,1,31,6
1599806.66666667,0,23,14.2853933465757,1,13.8202984369853,529,1,23,2
903140,1,25,13.7136328591415,0,14.0231906565723,625,0,0,39
1200000,1,26,13.9978321147582,0,14.0231906565723,676,0,0,77
4500000,1,31,15.3195879547405,0,14.0231906565723,961,0,0,11
4441000,0,35,15.3063901342742,1,13.8202984369853,1225,1,35,21
1166473.33333333,1,52,13.9694955097737,0,14.0231906565723,2704,0,0,58
882333.416666667,0,51,13.6903252869877,1,13.8202984369853,2601,1,51,55
3e+05,0,49,12.6115377536383,1,13.8202984369853,2401,1,49,79
1483140,1,60,14.209672019901,0,14.0231906565723,3600,0,0,93
1388140,1,30,14.1434752795157,0,14.0231906565723,900,0,0,58
1e+05,0,60,11.5129254649702,1,13.8202984369853,3600,1,60,41
9e+05,1,32,13.7101500423064,0,14.0231906565723,1024,0,0,77
1223140,1,27,14.0169318807262,0,14.0231906565723,729,0,0,58
6e+05,1,52,13.3046849341983,0,14.0231906565723,2704,0,0,79
6e+05,0,48,13.3046849341983,1,13.8202984369853,2304,1,48,79
837717,1,21,13.6384356135972,0,14.0231906565723,441,0,0,19
1e+06,1,30,13.8155105579643,0,14.0231906565723,900,0,0,15
1500000,1,55,14.2209756660724,0,14.0231906565723,3025,0,0,98
3150000,1,27,14.9629130108018,0,14.0231906565723,729,0,0,8
1426473.33333333,1,59,14.1707157556883,0,14.0231906565723,3481,0,0,45
1300000,0,57,14.0778748224318,1,13.8202984369853,3249,1,57,54
450000,0,61,13.0170028617465,1,13.8202984369853,3721,1,61,55
8e+05,1,52,13.5923670066501,0,14.0231906565723,2704,0,0,61
8e+05,1,43,13.5923670066501,0,14.0231906565723,1849,0,0,84
1403806.66666667,1,42,14.1546981522818,0,14.0231906565723,1764,0,0,58
1130000,0,50,13.9377281906885,1,13.8202984369853,2500,1,50,44
3e+06,0,26,14.9141228466324,1,13.8202984369853,676,1,26,45
5e+06,0,48,15.4249484703984,1,13.8202984369853,2304,1,48,41
1250000,1,36,14.0386541092785,0,14.0231906565723,1296,0,0,84
820857,1,22,13.6181041954319,0,14.0231906565723,484,0,0,58
1408000,1,44,14.1576808157001,0,14.0231906565723,1936,0,0,21
3250000,0,41,14.9941655543059,1,13.8202984369853,1681,1,41,39
91666.6666666667,1,73,11.4259140879806,0,14.0231906565723,5329,0,0,45
1254000,0,44,14.041849000175,1,13.8202984369853,1936,1,44,90
1383140,1,21,14.1398668347354,0,14.0231906565723,441,0,0,55
5e+05,1,19,13.1223633774043,0,14.0231906565723,361,0,0,58
8e+05,1,37,13.5923670066501,0,14.0231906565723,1369,0,0,37
991333.416666667,0,39,13.806806201396,1,13.8202984369853,1521,1,39,79
3e+05,1,19,12.6115377536383,0,14.0231906565723,361,0,0,58
8272166.66666667,1,59,15.9284070238188,0,14.0231906565723,3481,0,0,3
1260394.16666667,0,53,14.0469350606942,1,13.8202984369853,2809,1,53,51
1.2e+07,0,51,16.3004172077523,1,13.8202984369853,2601,1,51,21
2500000,1,50,14.7318012898384,0,14.0231906565723,2500,0,0,45
2683333.33333333,1,31,14.8025703607266,0,14.0231906565723,961,0,0,2
3e+06,0,56,14.9141228466324,1,13.8202984369853,3136,1,56,51
3e+06,1,58,14.9141228466324,0,14.0231906565723,3364,0,0,42
1623333.33333333,0,28,14.2999922063907,1,13.8202984369853,784,1,28,39
5e+05,1,55,13.1223633774043,0,14.0231906565723,3025,0,0,81
1200000,0,50,13.9978321147582,1,13.8202984369853,2500,1,50,41
1300000,1,26,14.0778748224318,0,14.0231906565723,676,0,0,2
450000,0,46,13.0170028617465,1,13.8202984369853,2116,1,46,55
9e+05,1,58,13.7101500423064,0,14.0231906565723,3364,0,0,93
1550000,0,57,14.2537654888954,1,13.8202984369853,3249,1,57,13
6e+05,0,49,13.3046849341983,1,13.8202984369853,2401,1,49,77
3375000,0,58,15.0319058822888,1,13.8202984369853,3364,1,58,39
4e+05,0,55,12.8992198260901,1,13.8202984369853,3025,1,55,45
1033357,1,25,13.8483232837508,0,14.0231906565723,625,0,0,87
6e+05,0,29,13.3046849341983,1,13.8202984369853,841,1,29,41
8e+05,1,36,13.5923670066501,0,14.0231906565723,1296,0,0,41
360000,0,51,12.7938593104323,1,13.8202984369853,2601,1,51,55
2837333.33333333,0,26,14.8583752018955,1,13.8202984369853,676,1,26,2
3e+05,0,57,12.6115377536383,1,13.8202984369853,3249,1,57,55
1500000,1,51,14.2209756660724,0,14.0231906565723,2601,0,0,91
781000,1,45,13.5683304288218,0,14.0231906565723,2025,0,0,98
